"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","X_COORDINATE","Y_COORDINATE","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
17058569,"2015-03-26 11:50:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","CREEKSIDE DR & LEMON AVE, WALNUT, CA 91789","CREEKSIDE DR & LEMON AVE","WALNUT","91789",6601164.6828498319,1831998.1369728819,"915-02178-2917","2917","02178","CA0190020","WALNUT","N"
17059881,"2015-03-26 10:30:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","39100 163RD ST, PALMDALE, CA 93591","39100 163RD ST","PALMDALE","93591",6610150.2183443774,2037878.8466332266,"915-05372-1197","1197","05372","CA0190024","LANCASTER","N"
17059883,"2015-03-26 09:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","500 W ALTADENA DR, ALTADENA, CA 91001","500 W ALTADENA DR","ALTADENA","91001",6513760.5354321757,1894572.6077580308,"915-00674-0771","0771","00674","CA0190007","ALTADENA","N"
17057975,"2015-03-26 08:55:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","120TH ST & CRENSHAW BLVD, HAWTHORNE, CA","120TH ST & CRENSHAW BLVD","HAWTHORNE",,6462614.7680070838,1794778.8451317442,"915-02678-0376","0376","02678","CA0190003","SOUTH LOS ANGELES","N"
17075048,"2015-03-26 00:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","6200 DAMASK AVE, LOS ANGELES, CA 90056","6200 DAMASK AVE","LOS ANGELES","90056",6451851.2080398714,1816423.5549016539,"915-00967-2766","2766","00967","CA0190065","MARINA DEL REY","N"
17060030,"2015-03-25 20:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","700 W 138TH ST, COMPTON, CA 90220","700 W 138TH ST","COMPTON","90220",6489884.1477958933,1788409.6548621855,"915-03881-2813","2813","03881","CA0190042","COMPTON","N"
17057582,"2015-03-25 19:15:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","2400 ROSEMEAD BLVD, SOUTH EL MONTE, CA 91733","2400 ROSEMEAD BLVD","SOUTH EL MONTE","91733",6542551.5592766721,1843067.6120121311,"915-03715-0560","0560","03715","CA0190005","TEMPLE","N"
17057199,"2015-03-25 16:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","12800 CUESTA ST, CERRITOS, CA 90703","12800 CUESTA ST","CERRITOS","90703",6543589.4982790211,1778186.3796626104,"915-01174-2318","2318","01174","CA01900R7","CERRITOS","N"
17060995,"2015-03-25 14:50:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","1200 N SWEETZER AVE, WEST HOLLYWOOD, CA 90069","1200 N SWEETZER AVE","WEST HOLLYWOOD","90069",,,"915-01601-0976","0976","01601","CA0190009","WEST HOLLYWOOD","N"
17057214,"2015-03-25 14:40:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","5600 ROCKET ST, LAKEWOOD, CA","5600 ROCKET ST","LAKEWOOD",,6524657.9966500942,1771845.3752539391,"915-05970-1322","1322","05970","CA0190013","LAKEWOOD","N"
17057444,"2015-03-25 14:20:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","500 LAKEWOOD CENTER MALL, LAKEWOOD, CA","500 LAKEWOOD CENTER MALL","LAKEWOOD",,6519144.6730223382,1767577.4110172903,"915-05982-1329","1329","05982","CA0190013","LAKEWOOD","N"
17057760,"2015-03-25 14:15:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","14300 LAKEWOOD BLVD, BELLFLOWER, CA 90706","14300 LAKEWOOD BLVD","BELLFLOWER","90706",6518491.7060981961,1786867.3234272245,"915-06013-1332","1332","06013","CA0190013","LAKEWOOD","N"
17057179,"2015-03-25 14:10:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","7500 ALONDRA BLVD, PARAMOUNT, CA 90723","7500 ALONDRA BLVD","PARAMOUNT","90723",6510549.0959606981,1782083.4462120412,"915-05966-1367","1367","05966","CA0190013","LAKEWOOD","N"
17057437,"2015-03-25 13:32:30","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","3300 N LINCOLN AVE, ALTADENA, CA 91001","3300 N LINCOLN AVE","ALTADENA","91001",6513615.8195764413,1896219.1768023164,"915-00657-0794","0794","00657","CA0190007","ALTADENA","N"
17057939,"2015-03-25 11:07:30","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","700 E CALAVERAS ST, ALTADENA, CA 91001","700 E CALAVERAS ST","ALTADENA","91001",6520839.8595165825,1889896.4651855668,"915-00664-0774","0774","00664","CA0190007","ALTADENA","N"
17058451,"2015-03-25 09:15:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","2000 D BASIN SLIP 10, MARINA DEL REY, CA","2000 D BASIN SLIP 10","MARINA DEL REY",,,,"915-00820-2763","2763","00820","CA0190065","MARINA DEL REY","N"
17056875,"2015-03-25 07:52:30","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","5200 E VIA CAMPO ST, LOS ANGELES, CA","5200 E VIA CAMPO ST","LOS ANGELES",,6515401.3462991891,1833898.9708933167,"915-04052-0285","0285","04052","CA0190002","EAST LOS ANGELES","N"
17062411,"2015-03-25 04:17:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","6100 SHENANDOAH AVE, LOS ANGELES, CA 90056","6100 SHENANDOAH AVE","LOS ANGELES","90056",6446606.7163166115,1816984.4113575448,"915-00867-2766","2766","00867","CA0190065","MARINA DEL REY","N"
